	edit_distance	expression	Selection Direction
130	0	12.525422096252441	min
131	0	14.147809028625488	min
132	0	11.489301681518555	min
133	0	14.331656455993652	min
134	0	12.602128028869629	min
135	0	10.354660034179688	min
136	0	10.899499893188477	min
137	0	11.231213569641113	min
138	0	9.364862442016602	min
139	0	10.967608451843262	min
140	0	14.943942070007324	min
141	0	12.424819946289062	min
142	0	13.294368743896484	min
143	0	4.509126663208008	min
144	0	11.205337524414062	min
145	0	11.342057228088379	min
146	0	9.23466682434082	min
147	0	6.591737270355225	min
148	0	12.092634201049805	min
149	0	13.007733345031738	min
150	0	7.780218601226807	min
151	0	13.813633918762207	min
152	0	9.904901504516602	min
153	0	11.506937026977539	min
154	0	8.870532035827637	min
155	0	10.422104835510254	min
156	0	12.141681671142578	min
157	0	11.805464744567871	min
158	0	6.821953773498535	min
159	0	9.016700744628906	min
160	0	11.340006828308105	min
161	0	5.899690628051758	min
162	0	8.703824043273926	min
163	0	8.1244478225708	min
164	0	9.78929615020752	min
165	0	9.772663116455078	min
166	0	8.20814037322998	min
167	0	12.388223648071289	min
168	0	14.074417114257812	min
169	0	12.202735900878906	min
170	0	9.380890846252441	min
171	0	12.344034194946289	min
172	0	10.755497932434082	min
173	0	10.67137622833252	min
174	0	13.795084953308105	min
175	0	11.649537086486816	min
176	0	9.129825592041016	min
177	0	12.052431106567383	min
178	0	11.438315391540527	min
179	0	8.514108657836914	min
180	0	13.378921508789062	min
181	0	8.115706443786621	min
182	0	5.135036468505859	min
183	0	8.186155319213867	min
184	0	13.540721893310547	min
185	0	9.17984390258789	min
186	0	6.726420879364014	min
187	0	8.36294937133789	min
188	0	9.991046905517578	min
189	0	7.137424468994141	min
190	0	6.555222988128662	min
191	0	9.680219650268555	min
192	0	12.58689022064209	min
193	0	9.828900337219238	min
194	0	13.409256935119629	min
195	0	8.773582458496094	min
196	0	11.108086585998535	min
197	0	12.561651229858398	min
198	0	15.612387657165527	min
199	0	5.881337642669678	min
200	0	6.4038920402526855	min
201	0	10.066391944885254	min
202	0	14.493741035461426	min
203	0	11.961094856262207	min
204	0	9.885538101196289	min
205	0	9.236294746398926	min
206	0	14.311333656311035	min
207	0	7.592148303985596	min
208	0	13.219489097595215	min
209	0	11.817895889282227	min
210	0	13.134655952453613	min
211	0	11.17202377319336	min
212	0	13.510952949523926	min
213	0	10.639925956726074	min
214	0	11.659882545471191	min
215	0	7.808903694152832	min
216	0	13.82478141784668	min
217	0	7.524798393249512	min
218	0	12.928192138671875	min
219	0	11.956632614135742	min
220	0	5.72414493560791	min
221	0	16.654993057250977	min
222	0	7.486856937408447	min
223	0	14.182546615600586	min
224	0	11.185835838317871	min
225	0	6.99585485458374	min
226	0	10.378353118896484	min
227	0	9.173709869384766	min
228	0	13.867982864379883	min
229	0	14.743644714355469	min
230	0	8.291669845581055	min
231	0	13.173455238342285	min
232	0	8.056488037109375	min
233	0	9.449146270751953	min
234	0	12.757664680480957	min
235	0	14.60226821899414	min
236	0	7.364595890045166	min
237	0	16.284160614013672	min
238	0	13.522749900817871	min
239	0	12.063323974609375	min
240	0	11.109188079833984	min
241	0	11.160059928894043	min
242	0	12.928072929382324	min
243	0	9.135501861572266	min
244	0	11.407903671264648	min
245	0	12.663982391357422	min
246	0	5.789111137390137	min
247	0	8.038905143737793	min
248	0	13.719229698181152	min
249	0	12.085920333862305	min
250	0	6.410068988800049	min
251	0	11.614416122436523	min
252	0	10.801774024963379	min
253	0	11.179213523864746	min
254	0	10.754027366638184	min
255	0	7.048656463623047	min
256	0	6.380276203155518	min
257	0	9.60602855682373	min
258	0	12.128266334533691	min
259	0	17.07096290588379	min
260	0	13.695984840393066	min
261	0	7.979028701782227	min
262	0	11.796143531799316	min
263	0	12.678335189819336	min
264	0	11.2714262008667	min
265	0	13.451337814331055	min
266	0	8.590320587158203	min
267	0	11.88461685180664	min
268	0	11.354991912841797	min
269	0	13.876131057739258	min
270	0	14.982418060302734	min
271	0	11.76385498046875	min
272	0	12.425895690917969	min
273	0	7.880569934844971	min
274	0	14.358430862426758	min
275	0	7.000040054321289	min
276	0	8.159948348999023	min
277	0	11.357210159301758	min
278	0	8.4121732711792	min
279	0	12.562673568725586	min
280	0	12.915492057800293	min
281	0	11.492353439331055	min
282	0	10.257305145263672	min
283	0	13.744667053222656	min
284	0	11.30795955657959	min
285	0	10.963891983032227	min
286	0	16.718914031982422	min
287	0	7.880773067474365	min
288	0	10.957755088806152	min
289	0	12.690327644348145	min
290	0	11.196701049804688	min
291	0	14.025111198425293	min
292	0	12.078857421875	min
